high_level_substr,sig_gene_seq
alginate,"1.B.14.12.1,GntR,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,null,PfkB,null"
alginate,"1.B.14.12.2,null,null,null,null,PfkB,2.A.1.14.25,null,PL17_2|PL17,PL6|PL6_1,null"
alginate,"1.B.14,GntR,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1,null,PfkB,null,null"
alginate,"2.A.28,null,PL6|PL6_1,PL17_2|PL17,1.B.14,8.A.46"
alginate,"3.D.2.2.1,3.D.2.2.1,3.D.2.2.1,PfkB,2.A.1.14.25,PL6|PL6_1,GntR,null"
alginate,"3.D.2.2.1,3.D.2.2.1,3.D.2.2.1,PfkB,PL6|PL6_1,GntR,null"
alginate,"3.D.2,3.D.2,3.D.2,PfkB,2.A.1,PL6|PL6_1,GntR,null"
alginate,"AraC_binding,null,null,2.A.50.2.1,PL5_1,null,null,1.B.13.1.1,null,null,GT2,null"
alginate,"AraC_binding,null,null,2.A.50,PL5_1,null,null,1.B.13,null,null,4.D.1,null"
alginate,"CBM16|CBM32|PL18,null,null,PL6,PL6,SBP_bac_3,null,null,null,PfkB,null,2.A.1,AraC_binding,PL17_2|PL17,PL6|PL6_1,PL7_5,GntR"
alginate,"GerE,1.B.14,null,null,GH144,GH144,CE1,GH3,null,BLUF,null,null,null,null,null,null,null,PL6|PL6_1,PL12,PL6|PL6_1,PL17_2|PL17,AraC_binding,null,null,1.B.14,8.A.46,GntR,2.A.1,null,LacI,PfkB,null,null,TPR_2,Response_reg,null,null,null"
alginate,"GntR,1.B.14.6.1,8.A.46.1.5,null,PL6|PL6_1,PL17_2|PL17"
alginate,"GntR,1.B.14.6.1,8.A.46.1.5,null,PL6|PL6_1,PL17_2|PL17_2"
alginate,"GntR,CBM32|PL7_5,1.B.14.12.1,PL6_3,PL7_5,2.A.1.14.25,PL6|PL6_1,null,null,null,2.A.1.14.25"
alginate,"GntR,null,PL6,PL17_2|PL17,2.A.1.14.25,null,null"
alginate,"GntR,PL7_5,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,null,PfkB,null,null,null,SBP_bac_3,PL6,PL6,null,CBM16|CBM32|PL18"
alginate,"null,GntR,3.A.1,3.A.1,3.A.1,3.A.1,PL15_1,null"
alginate,"null,GntR,null,PL6,PL17_2|PL17,2.A.1,null,null"
alginate,"null,GT2,null,null,1.B.13.1.1,null,null,PL5_1,2.A.50.2.1,null,null,AraC_binding"
alginate,"null,LacI,PL7_5,1.B.14.12.2,null,null,SKI,PL6|PL6_1"
alginate,"null,null,1.B.14.6.1,null,null,PL7,PL7,GntR,null"
alginate,"null,null,1.B.14,null,null,PL7,PL7,GntR,null,null"
alginate,"null,null,2.A.1.14.25,PL17_2|PL17,null,GntR,null"
alginate,"null,null,null,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,PfkB,null"
alginate,"null,null,null,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,PfkB,null,GntR,CBM32|PL7_5,1.B.14.12.1,PL6_3,PL7_5"
alginate,"null,null,null,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1,PfkB,null"
alginate,"null,null,null,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1,PfkB,null,GntR,CBM32|PL7_5,1.B.14,PL6_3,PL7_5"
alginate,"null,null,PL5_1,null,null"
alginate,"null,PfkB,null,2.A.1.14.25,GntR,PL7,null,null,1.B.14.6.2,null,AraC_binding,PL17_2|PL17"
alginate,"null,PfkB,null,2.A.1,GntR,PL7,null,null,1.B.14,null,AraC_binding,PL17_2|PL17"
alginate,"null,PL6_3,null,null,null,PfkB,2.A.1.14.25,null,PL17_2|PL17,PL6|PL6_1,null"
alginate,"null,PL6|PL6_1,PL17_2|PL17,null,2.A.1.14.25,PfkB,null,null,null,null,1.B.14.12.2"
alginate,"null,PL6|PL6_1,PL17_2|PL17,null,2.A.1.14.25,PfkB,null,null,null,PL6_3,null"
alginate,"null,PL6|PL6_1,PL17_2|PL17,null,2.A.1.14.25,PfkB,null,null,null,PL6_3,null,1.B.14.12.2"
alginate,"null,PL6|PL6_1,PL17_2|PL17,null,2.A.1,PfkB,null,null,null,PL6_3,null,1.B.14,GerE,null"
alginate,"peroxidase,null,PL5|PL7,LacI,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,PL15_1"
alginate,"PfkB,AraC_binding,null,PL15_1,3.A.1,3.A.1,3.A.1,null"
alginate,"PL17_2|PL17_2,PL6|PL6_1,null,8.A.46.1.5,1.B.14.6.1,GntR"
alginate,"PL17_2|PL17,PL6|PL6_1,8.A.46.1.5,1.B.14.6.1,null,GntR"
alginate,"PL17_2|PL17,PL6|PL6_1,null,8.A.46.1.5,1.B.14.6.1,GntR"
alginate,"PL17_2|PL17,PL6|PL6_1,null,8.A.46,1.B.14,null,GntR"
